Week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
1,Samaje Perine,11869,HB,CIN,1,1,0,0,0.0,0,0,4,0,0,0,3,0.0,0,0,7,0,0,67.4,60.4,77.8,,74.6,61.2,59.4,,4,0,33,3,21,1,0,0,4,4,0,4,3,3.0,4.0,1.57,0
1,Jeff Driskel,10841,QB,HST,1,1,2,0,0.0,0,0,0,0,0,0,,100.0,0,1,13,0,0,60.4,65.5,66.9,,,,62.6,60.0,5,0,0,0,0,1,5,1,0,0,0,5,15,15.0,5.0,,0
1,Tyreek Hill,10799,WR,MIA,1,1,1,0,0.0,0,0,6,1,0,1,12,133.3,0,0,17,1,0,19.5,73.2,77.5,,,71.0,63.1,59.5,6,0,94,8,31,9,0,0,12,9,0,6,12,12.0,6.0,3.03,0
1,Travis Homer,45859,HB,SEA,1,1,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,29,0,1,64.6,52.1,76.3,,6.7,56.2,59.5,60.0,2,0,0,0,11,5,0,0,0,1,0,2,2,2.0,2.0,0.0,0
1,Aaron Rodgers,2241,QB,GB,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,12,1,0,28.1,60.1,78.4,59.5,,,60.0,60.0,-1,0,0,0,0,18,0,0,0,1,0,-1,0,0.0,-1.0,,0
1,Jakobi Meyers,47468,WR,NE,1,1,0,0,0.0,0,0,7,0,0,0,2,0.0,0,1,19,0,0,68.3,75.8,77.0,,,70.1,62.8,89.5,7,0,55,4,31,16,0,0,6,5,0,7,2,2.0,7.0,1.77,0
1,Marquez Valdes-Scantling,47809,WR,KC,1,1,1,0,0.0,0,0,-3,0,0,1,5,100.0,0,0,16,0,0,68.3,69.0,78.5,,,66.7,63.1,61.7,-3,0,44,4,33,16,0,0,4,5,0,-3,5,5.0,-3.0,1.33,0
1,Brandon Powell,48036,WR,LA,1,1,0,0,0.0,0,0,3,0,0,0,3,0.0,0,0,26,0,0,71.7,69.5,69.5,,,75.5,56.7,,3,0,10,1,2,1,0,0,1,2,0,3,3,3.0,3.0,5.0,1
1,Cedrick Wilson Jr.,48170,WR,MIA,1,1,1,0,0.0,0,0,8,0,0,1,7,233.3,0,0,17,0,0,64.0,61.2,75.0,,,61.7,,54.1,8,0,20,2,17,11,0,0,2,3,0,8,7,7.0,8.0,1.18,0
1,DJ Moore,48267,WR,CAR,1,1,0,0,0.0,0,0,7,0,2,0,3,150.0,0,0,5,0,0,67.4,69.0,79.0,,,65.1,63.1,74.1,7,0,43,3,32,18,0,0,4,4,0,7,3,3.0,7.0,1.34,0
1,Breshad Perriman,9459,WR,TB,1,1,0,0,0.0,0,0,-7,0,0,0,0,0.0,0,0,30,0,0,61.9,51.8,75.6,,,53.8,57.3,59.7,-7,0,0,0,10,16,0,0,3,1,0,-7,0,0.0,-7.0,0.0,0
1,Chuba Hubbard,57373,HB,CAR,1,1,0,0,0.0,0,0,3,0,0,0,3,0.0,0,0,5,0,0,61.9,53.6,65.4,,72.4,59.9,56.4,,3,0,0,0,1,1,0,0,0,1,0,3,3,3.0,3.0,0.0,0
1,Zander Horvath,57384,FB,LAC,1,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,1,27,0,0,66.2,67.6,73.0,,25.3,63.7,62.4,59.2,2,0,6,2,6,7,0,0,2,3,0,2,1,1.0,2.0,1.0,0
1,Russell Wilson,7077,QB,DEN,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,10,0,0,80.0,54.0,0.0,57.6,,,58.3,60.0,2,2,0,0,0,19,2,1,0,0,0,2,3,3.0,2.0,,0
1,Jaelon Darden,61522,WR,TB,1,1,0,0,0.0,0,0,2,0,0,0,0,0.0,0,0,30,0,0,72.0,48.6,71.8,,,57.4,56.2,55.7,2,0,0,0,3,7,0,0,0,1,0,2,0,0.0,2.0,0.0,0
1,Joshua Palmer,62979,WR,LAC,1,1,0,0,0.0,0,0,4,0,0,0,8,0.0,0,1,27,0,0,67.4,56.1,78.0,,,54.1,62.0,59.8,4,0,5,3,26,24,0,0,3,4,0,4,8,8.0,4.0,0.19,0
1,Christian Watson,66581,WR,GB,1,1,0,0,0.0,0,0,7,1,0,0,3,0.0,0,0,12,0,0,66.2,45.2,77.3,,,47.2,56.6,59.0,7,0,34,2,29,11,0,0,4,3,0,7,3,3.0,7.0,1.17,0
1,Matthew Stafford,4924,QB,LA,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,1,26,1,0,32.5,64.7,79.2,63.1,,,62.6,60.0,2,0,0,0,0,16,2,1,0,0,0,2,0,0.0,2.0,,0
1,James Cook,83666,HB,BUF,1,1,0,0,0.0,0,0,2,0,0,0,0,0.0,0,0,4,1,0,16.2,29.0,67.0,,,,50.4,59.3,2,0,0,0,0,3,0,0,0,1,0,2,0,0.0,2.0,,1
1,Joe Flacco,4332,QB,NYJ,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,22,0,0,82.3,67.7,79.9,67.5,,,58.2,60.0,0,1,0,0,0,18,0,0,0,1,0,0,0,0.0,0.0,,0
1,Chigoziem Okonkwo,84000,TE,TEN,1,1,2,0,0.0,0,0,-4,0,0,2,1,100.0,0,0,31,0,0,64.6,59.9,70.4,,72.7,72.8,56.2,56.7,-4,0,11,1,5,4,0,0,1,2,0,-4,1,1.0,-4.0,2.2,0
1,Jaylen Waddle,84088,WR,MIA,1,1,0,0,0.0,0,0,8,0,0,0,0,0.0,0,0,17,0,0,68.3,75.4,77.5,,,72.9,63.1,60.5,8,0,69,4,28,12,0,0,5,5,0,8,0,0.0,8.0,2.46,0
1,Brandon Aiyuk,84109,WR,SF,1,1,0,0,0.0,0,0,7,0,0,0,4,0.0,0,0,28,0,0,67.4,58.3,79.6,,,59.9,63.1,37.9,7,1,40,2,35,31,0,0,3,3,0,7,4,4.0,7.0,1.14,0
1,Romeo Doubs,84329,WR,GB,1,1,0,0,0.0,0,0,11,0,0,0,1,0.0,1,1,12,0,0,68.3,68.5,76.5,,,64.5,63.1,78.1,11,0,37,4,25,10,0,0,5,5,0,11,1,1.0,11.0,1.48,0
1,Jahan Dotson,84375,WR,WAS,1,1,0,0,0.0,0,0,-10,0,0,0,0,0.0,0,0,32,0,0,67.4,64.7,78.6,,,68.0,56.6,40.3,-10,0,40,3,40,21,0,0,5,4,0,-10,0,0.0,-10.0,1.0,0
Week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
2,Leonard Fournette,11759,HB,TB,1,24,4,0,0.0,0,0,65,1,0,4,59,37.8,1,1,30,0,14,78.4,51.5,76.5,,82.2,35.7,57.3,44.8,13,0,9,2,25,27,0,0,4,26,0,65,59,2.46,2.7,0.36,10
2,James Robinson,22425,HB,JAX,1,23,3,1,57.8,37,0,64,0,1,3,68,47.3,1,5,15,0,7,78.7,59.5,75.6,,,60.6,59.2,60.0,37,0,14,2,16,28,0,0,2,25,1,64,68,2.96,2.8,0.88,16
2,Saquon Barkley,45791,HB,NYG,1,21,4,2,43.1,31,0,72,0,0,4,62,49.2,3,3,21,0,13,77.8,68.7,77.4,,61.3,60.1,70.3,60.0,16,0,16,3,34,23,0,0,4,24,0,72,62,2.95,3.4,0.47,7
2,Josh Jacobs,45953,HB,LV,1,19,5,0,0.0,0,0,69,0,0,5,67,88.2,1,4,23,0,13,77.3,77.9,76.4,,71.2,56.5,80.1,,13,0,12,1,17,20,0,0,1,20,0,69,67,3.53,3.6,0.71,4
2,Joe Mixon,11803,HB,CIN,1,19,2,0,0.0,0,0,57,0,0,2,43,20.6,1,2,7,0,7,77.6,57.9,76.6,,81.3,65.3,54.6,60.0,10,0,26,3,24,22,0,0,4,22,0,57,43,2.26,3.0,1.08,11
2,AJ Dillon,57165,HB,GB,1,18,4,0,0.0,0,0,61,0,0,4,51,59.6,1,5,12,0,6,77.0,73.6,79.6,,,55.3,72.9,70.8,11,0,6,1,15,24,0,0,2,19,0,61,51,2.83,3.4,0.4,12
2,Jeff Wilson Jr.,29413,HB,SF,1,18,5,1,19.0,16,0,84,0,0,5,53,73.6,2,4,28,0,5,77.1,72.5,77.9,,,74.3,68.8,58.2,16,0,19,2,10,26,0,0,2,20,0,84,53,2.94,4.7,1.9,13
2,Nick Chubb,45783,HB,CLV,1,17,8,1,25.3,22,0,87,0,0,8,56,131.8,3,5,8,0,10,77.0,82.6,75.7,,,66.7,81.6,60.0,22,0,26,3,15,21,0,0,3,20,3,87,56,3.29,5.1,1.73,4
2,Miles Sanders,40555,HB,PHI,1,17,3,0,0.0,0,0,80,0,0,3,50,44.1,3,5,24,0,6,76.7,66.3,76.1,,68.8,57.8,67.5,59.3,12,0,6,3,14,22,0,0,3,20,0,80,50,2.94,4.7,0.43,9
2,Christian McCaffrey,11763,HB,CAR,1,15,8,1,48.0,49,0,102,0,0,8,76,213.3,1,5,5,0,7,76.3,75.1,75.6,,55.3,60.9,79.4,60.0,49,0,26,4,24,16,0,0,5,19,0,102,76,5.07,6.8,1.08,8
2,David Montgomery,45719,HB,CHI,1,15,8,1,23.0,28,0,122,0,0,8,90,282.4,6,6,6,0,4,75.9,73.7,73.8,,74.6,59.8,73.9,60.0,28,0,14,2,11,20,0,0,2,17,0,122,90,6.0,8.1,1.27,11
2,Damien Harris,35134,HB,NE,1,15,2,1,22.5,16,0,71,0,0,2,54,42.4,1,4,19,0,13,75.9,68.7,75.9,,76.9,68.3,66.2,,16,0,16,2,9,15,0,0,2,17,1,71,54,3.6,4.7,1.78,2
2,Dameon Pierce,83659,HB,HST,1,15,6,0,0.0,0,0,69,0,0,6,55,137.5,3,6,13,0,7,76.0,69.8,75.5,,60.6,58.2,70.7,60.0,12,0,8,1,15,18,0,0,1,16,0,69,55,3.67,4.6,0.53,8
2,Najee Harris,57121,HB,PIT,1,15,0,0,0.0,0,0,49,0,2,0,40,26.7,0,2,25,0,4,76.5,65.3,75.8,,27.0,74.4,63.0,60.0,8,0,40,5,19,17,0,0,6,20,0,49,40,2.67,3.3,2.11,10
2,Ezekiel Elliott,10638,HB,DAL,1,15,1,0,0.0,0,0,53,1,0,1,38,15.8,1,3,9,0,4,75.7,52.7,75.7,,79.1,33.7,57.4,66.3,11,0,-4,1,19,18,0,0,2,16,0,53,38,2.53,3.5,-0.21,11
2,Javonte Williams,77803,HB,DEN,1,15,6,2,45.3,34,0,75,0,0,6,64,160.0,2,3,10,0,9,76.0,68.4,0.0,,83.1,60.1,70.4,60.0,17,1,10,1,20,19,0,0,3,16,0,75,64,4.27,5.0,0.5,6
2,Aaron Jones,11937,HB,GB,1,15,11,3,52.3,69,0,132,0,2,11,85,409.3,4,7,12,0,7,76.1,90.1,79.8,,68.8,81.9,85.6,61.0,36,0,38,3,18,20,0,0,3,18,1,132,85,5.67,8.8,2.11,8
2,Cam Akers,57206,HB,LA,1,15,3,0,0.0,0,0,44,0,0,3,40,47.1,0,2,26,0,9,75.9,67.7,72.6,,83.2,68.8,64.8,,8,0,18,2,8,15,0,0,2,17,0,44,40,2.67,2.9,2.25,6
2,Austin Ekeler,12164,HB,LAC,1,14,1,0,0.0,0,0,39,1,5,1,30,55.9,0,4,27,0,3,76.6,61.8,76.2,,0.0,68.7,67.9,,8,0,55,9,31,13,0,0,10,23,0,39,30,2.14,2.8,1.77,10
2,Antonio Gibson,78050,HB,WAS,1,14,3,0,0.0,0,0,28,2,1,3,25,44.6,0,1,32,0,3,75.5,55.7,77.3,,56.9,38.7,62.2,60.0,8,0,13,2,20,15,0,0,4,16,1,28,25,1.79,2.0,0.65,11
2,Tyrion Davis-Price,99169,HB,SF,1,14,2,1,60.6,20,0,33,0,0,2,29,29.6,1,2,28,0,3,75.5,51.1,75.3,,,52.7,53.5,60.0,20,0,0,0,10,19,0,0,0,14,0,33,29,2.07,2.4,0.0,11
2,Kareem Hunt,11841,HB,CLV,1,13,2,0,0.0,0,0,58,0,1,2,37,56.9,4,4,8,0,10,75.2,64.6,75.0,,80.5,62.1,62.8,,13,0,16,2,12,13,0,0,2,15,0,58,37,2.85,4.5,1.33,3
2,Derrick Henry,10679,HB,TEN,1,13,1,0,0.0,0,0,25,0,0,1,32,18.9,0,1,31,0,9,74.9,51.4,74.1,,57.5,58.2,51.9,60.0,9,0,0,0,7,14,0,0,0,13,1,25,32,2.46,1.9,0.0,4
2,Jamaal Williams,11889,HB,DET,1,12,0,0,0.0,0,0,53,0,0,0,27,0.0,1,2,11,0,11,74.5,53.7,72.6,,74.2,57.8,54.2,60.0,12,0,7,1,6,13,0,0,1,13,0,53,27,2.25,4.4,1.17,1
2,Jalen Hurts,40291,QB,PHI,1,11,2,0,0.0,0,0,13,0,0,1,7,19.4,1,3,24,1,2,32.3,84.4,79.5,90.4,,,51.1,60.0,26,0,0,0,0,29,44,5,0,6,2,57,25,2.27,5.2,,2
2,Raheem Mostert,9783,HB,MIA,1,11,5,0,0.0,0,0,51,0,2,5,27,122.7,1,1,17,0,3,74.6,71.8,75.8,,78.8,71.3,69.2,60.0,11,0,28,3,24,12,0,0,3,14,0,51,27,2.45,4.6,1.17,6
2,James Cook,83666,HB,BUF,1,11,3,1,62.3,33,0,53,0,0,3,52,128.9,1,3,4,0,8,73.8,71.9,72.7,,,57.1,71.1,59.9,33,0,0,0,3,15,0,0,1,11,0,53,52,4.73,4.8,0.0,3
2,Daniel Jones,39395,QB,NYG,1,10,1,0,0.0,0,0,-5,0,0,0,2,0.0,1,4,21,0,1,80.6,51.5,79.5,51.3,,,56.5,60.1,11,0,0,0,0,27,26,6,0,4,0,21,17,1.7,2.1,,0
2,Darrell Henderson,41193,HB,LA,1,10,0,0,0.0,0,0,47,0,0,0,19,0.0,1,4,26,0,6,73.3,54.4,76.0,,27.0,49.6,60.7,,13,0,0,0,20,10,0,0,0,10,1,47,19,1.9,4.7,0.0,4
2,Mark Ingram II,6180,HB,NO,1,10,4,0,0.0,0,0,58,0,0,4,35,116.7,2,3,20,1,3,21.7,53.7,73.6,,26.6,62.2,56.6,60.0,12,0,3,2,9,11,0,0,2,12,0,58,35,3.5,5.8,0.33,7
2,Cordarrelle Patterson,7810,HB,ATL,1,10,3,0,0.0,0,0,41,1,0,3,31,93.0,1,2,2,0,2,74.9,64.4,78.5,,59.9,37.2,74.7,58.4,11,0,0,0,13,18,0,0,1,10,0,41,31,3.1,4.1,0.0,8
2,Melvin Gordon III,9448,HB,DEN,1,10,6,0,0.0,0,0,47,0,0,6,44,240.0,0,1,10,0,2,73.6,65.9,0.0,,77.4,58.7,74.0,60.0,9,2,6,1,9,12,0,0,1,11,0,47,44,4.4,4.7,0.67,8
2,Tyler Allgeier,83639,HB,ATL,1,10,0,0,0.0,0,0,30,0,0,0,17,0.0,0,1,2,0,4,73.3,62.6,73.4,,73.0,55.8,62.3,60.0,9,0,0,0,4,11,0,0,0,10,0,30,17,1.7,3.0,0.0,6
2,Lamar Jackson,46416,QB,BLT,1,9,1,1,66.4,79,0,90,0,0,1,5,10.2,3,3,3,1,6,29.3,66.4,0.0,68.8,,,59.3,60.0,79,1,0,0,0,24,29,2,0,7,1,119,11,1.22,13.2,,0
2,Rhamondre Stevenson,98689,HB,NE,1,9,3,0,0.0,0,0,47,0,0,3,38,126.7,0,2,19,0,5,73.1,72.2,76.3,,83.9,53.5,75.9,59.9,8,0,4,1,23,14,0,0,2,10,0,47,38,4.22,5.2,0.17,3
2,Hassan Haskins,83701,HB,TEN,1,9,2,0,0.0,0,0,37,0,0,2,27,60.0,0,2,31,0,2,74.9,65.9,76.9,,73.1,54.8,68.0,60.0,9,0,0,1,14,12,0,0,1,10,0,37,27,3.0,4.1,0.0,7
2,Jonathan Taylor,57488,HB,IND,1,9,2,2,77.8,42,0,54,0,1,2,23,76.7,2,3,14,0,2,73.6,58.7,75.1,,15.3,59.2,64.2,60.0,21,0,9,1,22,11,0,0,1,10,0,54,23,2.56,6.0,0.41,7
2,Travis Etienne Jr.,57185,HB,JAX,1,9,0,0,0.0,0,0,20,0,0,0,15,0.0,0,1,15,0,5,73.2,59.9,75.9,,73.1,70.2,54.8,60.0,6,0,33,3,14,10,0,0,3,12,0,20,15,1.67,2.2,2.36,3
2,Tony Pollard,27126,HB,DAL,1,9,0,1,39.5,17,0,43,0,0,0,22,0.0,1,3,9,0,3,74.0,68.6,75.7,,77.4,72.7,63.3,,17,0,55,4,13,9,0,0,7,13,1,43,22,2.44,4.8,4.23,5
2,Clyde Edwards-Helaire,57279,HB,KC,1,8,0,1,70.3,52,0,74,0,3,0,60,187.5,1,1,16,0,3,73.5,68.0,76.7,,72.4,86.2,59.8,60.0,52,0,44,4,14,9,0,0,4,12,0,74,60,7.5,9.3,3.14,5
2,Darrel Williams,13014,HB,ARZ,1,8,1,1,50.8,30,0,59,1,0,1,40,50.0,1,4,1,0,5,72.9,66.1,78.1,,48.9,52.6,74.2,60.0,30,0,3,2,22,11,0,0,3,10,1,59,40,5.0,7.4,0.14,3
2,Justin Fields,82118,QB,CHI,1,8,1,0,0.0,0,0,9,0,0,1,1,4.0,0,2,6,1,1,24.3,40.8,0.0,50.6,,,44.4,60.0,7,1,0,0,0,24,11,3,0,5,1,20,12,1.5,2.5,,4
2,Eno Benjamin,57136,HB,ARZ,1,8,2,0,0.0,0,0,31,0,1,2,21,71.6,0,2,1,0,4,75.0,66.7,76.9,,29.7,59.6,72.1,60.0,7,0,20,3,18,12,0,0,3,11,0,31,21,2.63,3.9,1.11,3
2,Mac Jones,60323,QB,NE,1,7,0,0,0.0,0,0,-5,0,0,0,3,0.0,0,2,19,0,0,79.9,49.3,0.0,50.7,,,63.7,60.0,5,2,0,0,0,28,11,3,0,4,0,6,9,1.29,0.9,,0
2,Breece Hall,97636,HB,NYJ,1,7,2,1,46.0,23,0,50,0,0,2,39,139.3,2,1,22,0,4,72.3,70.1,75.0,,75.7,79.3,65.3,60.0,23,0,10,1,7,9,0,0,1,8,0,50,39,5.57,7.1,1.43,1
2,James Conner,11860,HB,ARZ,1,7,1,0,0.0,0,0,25,0,0,1,18,28.6,0,1,1,0,4,72.3,60.5,73.7,,,63.3,64.4,30.7,6,0,26,2,9,7,0,0,3,9,0,25,18,2.57,3.6,2.89,3
2,Michael Carter,57337,HB,NYJ,1,7,3,0,0.0,0,0,23,0,2,3,17,101.2,0,0,22,0,2,74.3,68.9,80.4,,7.9,74.6,68.7,59.7,8,0,27,5,25,16,0,0,5,12,0,23,17,2.43,3.3,1.08,4
2,Marcus Mariota,9435,QB,ATL,1,6,1,0,0.0,0,0,-1,0,0,0,0,0.0,1,1,2,1,2,28.1,59.2,78.8,61.3,,,52.5,60.0,10,0,0,0,0,26,17,3,0,3,0,16,11,1.83,2.7,,1
2,Jacoby Brissett,10725,QB,CLV,1,6,0,0,0.0,0,0,1,0,0,0,1,0.0,2,3,8,0,0,78.4,83.2,79.1,79.1,,,72.6,60.0,21,0,0,0,0,34,42,4,0,2,0,43,1,0.17,7.2,,0
2,Kenyan Drake,10707,HB,BLT,1,6,0,0,0.0,0,0,8,0,0,0,13,0.0,0,0,3,0,2,71.4,48.5,71.1,,17.7,54.7,53.2,,6,0,0,0,7,7,0,0,0,6,0,8,13,2.17,1.3,0.0,4
2,Dalvin Cook,11796,HB,MIN,1,6,0,0,0.0,0,0,17,1,0,0,10,0.0,0,1,18,0,3,72.4,48.6,79.8,,0.0,45.6,59.2,60.0,6,0,19,4,31,7,0,0,6,10,0,17,10,1.67,2.8,0.61,3
2,Rashaad Penny,27414,HB,SEA,1,6,0,0,0.0,0,0,15,0,0,0,18,0.0,0,0,29,0,2,70.6,64.1,71.8,,0.0,53.9,71.7,60.0,6,0,0,0,11,8,0,0,0,6,0,15,18,3.0,2.5,0.0,4
2,Devin Singletary,40485,HB,BUF,1,6,2,1,84.2,16,0,19,0,0,2,14,58.3,1,1,4,0,2,71.6,56.0,76.8,,76.4,53.7,55.9,,16,0,2,2,28,6,0,0,2,8,0,19,14,2.33,3.2,0.07,3
2,Baker Mayfield,46518,QB,CAR,1,6,3,0,0.0,0,0,6,0,0,0,0,0.0,1,2,5,1,0,79.1,48.8,78.6,48.6,,,57.4,60.0,17,0,0,0,0,18,29,5,0,1,0,35,28,4.67,5.8,,1
2,Aaron Rodgers,2241,QB,GB,1,5,0,0,0.0,0,0,3,0,0,0,1,0.0,0,1,12,1,1,78.1,83.5,79.2,84.2,,,58.9,60.0,7,0,0,0,0,38,7,1,0,4,0,10,3,0.6,2.0,,1
2,Mike Davis,9559,HB,BLT,1,5,0,0,0.0,0,0,4,0,0,0,3,0.0,0,0,3,0,4,69.7,37.1,71.8,,69.2,55.7,43.4,40.0,3,0,0,0,6,11,0,0,0,5,0,4,3,0.6,0.8,0.0,1
2,Chase Edmonds,45851,HB,MIA,1,5,0,1,84.8,28,0,33,0,0,0,14,0.0,1,2,17,0,2,70.3,55.7,0.0,,63.5,52.7,63.1,60.0,28,1,8,1,24,7,0,0,3,6,0,33,14,2.8,6.6,0.33,2
2,D'Andre Swift,57212,HB,DET,1,5,0,1,89.3,50,0,56,1,0,0,9,0.0,1,1,11,0,2,70.9,62.1,76.4,,80.9,52.4,65.3,,50,0,31,2,21,5,0,0,5,7,0,56,9,1.8,11.2,1.48,3
2,Kyler Murray,38334,QB,ARZ,1,5,2,0,0.0,0,0,23,0,0,2,16,355.6,1,5,1,0,2,82.0,82.8,80.0,73.9,,,90.4,60.5,10,1,0,0,0,27,5,2,0,3,1,28,16,3.2,5.6,,0
2,Boston Scott,39462,HB,PHI,1,4,0,1,84.2,16,0,19,0,0,0,20,0.0,1,1,24,0,1,69.4,52.8,75.3,,,55.6,53.7,,16,0,2,1,11,4,0,0,1,5,0,19,20,5.0,4.8,0.18,2
2,Kenneth Walker III,97199,HB,SEA,1,4,4,0,0.0,0,0,10,0,0,4,17,283.3,0,1,29,0,1,70.0,63.1,72.2,,72.4,59.3,63.5,60.0,8,0,5,2,5,5,0,0,3,6,0,10,17,4.25,2.5,1.0,2
2,Jaylen Warren,98692,HB,PIT,1,4,1,0,0.0,0,0,15,0,0,1,9,45.0,0,1,25,0,0,69.4,61.0,73.9,,18.3,55.1,67.7,,6,0,0,1,11,4,0,0,1,5,0,15,9,2.25,3.8,0.0,4
2,Khalil Herbert,41668,HB,CHI,1,4,0,1,71.1,27,0,38,0,1,0,7,35.0,1,1,6,0,0,69.4,77.6,70.1,,,62.8,76.3,,27,0,3,1,4,4,0,0,1,5,0,38,7,1.75,9.5,0.75,4
2,Deebo Samuel,48274,WR,SF,1,4,2,1,96.2,51,0,53,0,3,2,65,902.8,1,1,28,1,2,19.8,64.9,79.4,,68.8,75.8,42.1,65.5,51,0,44,5,22,32,0,0,5,9,0,53,65,16.25,13.3,2.0,2
2,Malik Willis,60341,QB,TEN,1,4,0,0,0.0,0,0,3,0,0,0,0,0.0,0,1,31,1,0,17.9,39.7,74.1,48.0,,,46.3,60.0,8,0,0,0,0,11,13,2,0,2,0,16,4,1.0,4.0,,2
2,Joe Burrow,28022,QB,CIN,1,4,0,0,0.0,0,0,-1,0,0,0,0,0.0,2,1,7,1,0,29.7,69.4,79.4,66.5,,,68.1,60.0,12,0,0,0,0,23,27,3,0,1,0,26,19,4.75,6.5,,0
2,Sony Michel,27589,HB,LAC,1,4,0,0,0.0,0,0,13,0,0,0,6,0.0,0,0,27,0,1,69.4,65.8,69.2,,78.6,63.0,63.6,60.0,7,0,6,1,2,5,0,0,1,5,0,13,6,1.5,3.3,3.0,3
2,Joshua Kelley,13750,HB,LAC,1,4,1,0,0.0,0,0,22,0,0,1,20,100.0,0,0,27,0,0,69.4,68.8,74.1,,59.7,57.0,72.4,60.0,8,0,3,1,10,5,0,0,1,5,0,22,20,5.0,5.5,0.3,4
2,Dwayne Washington,10870,HB,NO,1,4,1,0,0.0,0,0,18,0,0,1,15,93.8,0,2,20,0,1,68.6,71.7,66.3,,,,69.0,,8,0,0,0,0,4,0,0,0,4,0,18,15,3.75,4.5,,3
2,Jerick McKinnon,8731,HB,KC,1,4,0,0,0.0,0,0,12,0,0,0,6,0.0,0,0,16,0,1,70.0,51.1,76.3,,27.7,67.2,48.9,60.0,5,0,4,2,14,7,0,0,2,6,0,12,6,1.5,3.0,0.29,3
2,Jimmy Garoppolo,8697,QB,SF,1,4,0,0,0.0,0,0,5,0,0,0,5,0.0,0,2,28,0,1,77.7,66.5,78.6,65.4,,,61.6,60.0,3,0,0,0,0,34,0,0,0,4,1,5,5,1.25,1.3,,1
2,Tom Brady,698,QB,TB,1,3,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,30,1,0,28.7,69.5,79.2,76.5,,,31.7,60.0,0,0,0,0,0,30,0,0,0,3,0,-2,0,0.0,-0.7,,1
2,Case Keenum,7323,QB,BUF,1,3,0,0,0.0,0,0,2,0,0,0,0,0.0,0,0,4,0,0,69.1,44.5,73.9,43.9,,,57.7,60.0,4,0,0,0,0,14,0,0,0,3,0,2,0,0.0,0.7,,1
2,J.D. McKissic,11047,HB,WAS,1,3,0,0,0.0,0,0,9,0,0,0,8,0.0,0,1,32,0,0,71.8,60.6,76.5,,21.9,81.2,51.3,60.0,4,0,54,7,21,4,0,0,7,10,0,9,8,2.67,3.0,2.57,3
2,Taysom Hill,12112,TE,NO,1,3,0,0,0.0,0,0,14,0,0,0,4,0.0,1,1,20,0,3,67.2,56.6,72.7,,69.6,56.1,58.6,,13,0,0,0,2,3,0,0,0,3,0,14,4,1.33,4.7,0.0,0
2,Zack Moss,40341,HB,BUF,1,3,2,1,100.0,17,0,17,0,0,2,14,311.1,1,1,4,0,3,67.2,65.0,73.2,,73.5,53.4,66.9,,17,0,0,0,8,3,0,0,0,3,0,17,14,4.67,5.7,0.0,0
2,Justice Hill,45865,HB,BLT,1,3,0,0,0.0,0,0,16,0,0,0,9,0.0,1,1,3,0,2,67.2,63.4,74.2,,83.4,53.7,62.0,59.8,13,0,0,0,5,5,0,0,0,3,0,16,9,3.0,5.3,0.0,1
2,Trevor Lawrence,77632,QB,JAX,1,3,0,0,0.0,0,0,11,0,0,0,1,0.0,0,0,15,0,0,78.6,75.3,79.3,73.7,,,62.9,60.0,8,0,0,0,0,38,0,0,0,3,0,11,1,0.33,3.7,,2
2,Trey Lance,91399,QB,SF,1,3,0,0,0.0,0,0,13,0,0,0,2,0.0,0,1,28,0,2,69.8,55.3,73.9,59.8,,,54.6,60.0,7,0,0,0,0,13,0,0,0,3,0,13,2,0.67,4.3,,0
2,Craig Reynolds,94383,HB,DET,1,3,1,0,0.0,0,0,16,0,0,1,13,108.3,1,1,11,0,1,68.2,66.1,69.8,,,78.4,60.7,60.0,11,0,13,1,3,6,0,0,1,4,0,16,13,4.33,5.3,4.33,2
