Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
2,Alan Bowman,77679,QB,TEXAS TECH,1,80.0,50,52,6.6,2.1,0,1,1.9,73.1,38,0,8,5.0,54,2,24,315,71.3,78.0,75.2,68.5,0,1,55,1,0.0,102.2,0.0,0,2,0,2,2,1,1.8,429,8.3
2,James Blackman,60382,QB,FLORIDA ST,1,65.0,40,44,11.1,3.14,0,3,6.7,52.3,23,0,24,11.5,52,3,14,167,39.1,63.9,68.9,45.9,1,1,53,0,16.7,61.9,7.7,4,4,1,2,1,2,3.8,192,4.4
2,Tyler Vitt,83566,QB,TEXAS ST,1,82.9,35,39,7.8,2.46,0,2,4.5,66.7,26,0,18,10.3,44,3,14,314,71.1,74.9,72.0,73.0,0,2,49,1,22.2,107.4,9.1,4,1,0,4,4,1,2.0,346,8.9
2,Chase Brice,60363,QB,DUKE,1,65.7,35,38,7.9,2.38,0,2,5.1,52.6,20,0,18,13.0,43,3,13,154,31.6,63.1,59.7,66.3,2,0,44,1,16.7,73.9,7.0,3,2,0,1,0,2,4.5,255,6.7
2,Brock Purdy,77672,QB,IOWA STATE,1,57.6,33,35,10.2,2.88,0,0,0.0,45.7,16,0,12,15.8,39,3,9,193,70.4,48.1,40.5,71.5,0,1,41,0,8.3,45.5,2.6,1,3,0,2,0,2,4.9,145,4.1
2,Malik Cunningham,60436,QB,LOUISVILLE,1,66.7,30,34,11.9,2.81,0,2,5.9,55.9,19,0,13,5.0,37,1,14,210,41.1,61.0,60.9,58.9,0,1,37,0,15.4,107.8,5.4,2,1,0,4,3,3,8.1,343,10.1
2,Jeff Sims,122496,QB,GA TECH,1,75.0,32,34,7.9,2.8,0,1,2.7,67.6,23,0,16,4.2,41,1,14,176,72.3,49.4,36.8,71.5,1,2,44,0,6.3,77.7,2.4,1,6,0,1,1,5,11.4,277,8.1
2,Sam Howell,97599,QB,N CAROLINA,1,78.8,33,34,6.3,2.57,1,1,2.8,73.5,25,0,9,3.8,39,1,15,245,70.0,72.8,73.4,59.0,0,2,41,1,22.2,84.8,5.1,2,3,0,0,1,1,2.4,295,8.7
2,Sam Ehlinger,60555,QB,TEXAS,1,75.8,33,33,10.2,2.57,0,1,2.9,75.8,25,0,13,0.0,35,0,21,311,69.2,81.8,82.5,55.5,0,0,36,0,0.0,156.9,0.0,0,2,0,0,5,0,0.0,424,12.8
2,Ian Book,40216,QB,NOTRE DAME,1,79.3,29,31,5.1,3.32,0,0,0.0,61.3,19,0,15,17.4,38,4,13,258,69.9,48.5,50.1,51.8,0,1,40,0,20.0,85.8,7.9,3,4,0,2,1,2,5.0,263,8.5
2,Jonah Johnson,138484,QB,NEW MEX ST,1,66.7,30,31,11.4,3.31,0,2,5.7,54.8,17,0,15,15.0,35,3,6,242,35.8,59.7,58.3,61.1,0,3,39,0,13.3,44.1,5.7,2,2,0,1,1,4,10.3,187,6.0
2,Tommy DeVito,60545,QB,SYRACUSE,1,57.7,26,31,12.4,2.91,0,3,9.7,41.9,13,0,16,13.3,44,2,10,304,70.5,73.6,72.5,64.2,0,0,44,0,43.8,52.1,15.9,7,6,0,5,0,1,2.3,112,3.6
2,Frank Harris,60586,QB,UTSA,1,76.7,30,31,6.5,2.95,0,0,0.0,71.0,22,0,9,4.3,32,1,8,331,72.7,73.5,68.2,70.7,1,0,34,1,11.1,94.0,3.1,1,0,0,0,1,1,2.9,164,5.3
2,Keon Howard,40418,QB,TULANE,1,62.1,29,30,9.7,2.45,0,0,0.0,46.7,14,0,8,22.2,32,4,12,319,33.0,65.1,58.8,70.6,0,0,36,0,12.5,66.9,3.1,1,1,0,1,0,1,2.8,187,6.2
2,Chance Lovertich,121427,QB,S ALABAMA,1,75.0,28,29,11.3,2.43,0,2,6.3,62.1,18,0,16,14.3,35,3,10,288,69.3,77.3,79.4,53.4,0,0,38,0,31.3,112.3,14.3,5,1,0,1,2,0,0.0,247,8.5
2,Trevor Lawrence,77632,QB,CLEMSON,1,88.9,27,29,10.5,2.33,1,3,10.0,75.9,22,0,6,8.3,31,2,15,140,33.6,92.7,93.3,60.3,0,0,32,0,33.3,127.2,6.5,2,0,1,0,1,0,0.0,351,12.1
2,Chris Reynolds,60361,QB,CHARLOTTE,1,46.2,26,29,11.7,2.55,0,0,0.0,34.5,10,0,11,16.7,31,2,7,136,37.2,40.9,45.9,45.7,1,2,33,0,9.1,22.8,3.2,1,1,0,2,0,3,9.1,144,5.0
2,Skylar Thompson,60417,QB,KANSAS ST,1,63.0,27,28,15.4,3.12,0,5,15.6,60.7,17,0,15,0.0,33,0,13,199,33.3,79.6,84.3,52.3,0,0,37,0,13.3,115.0,6.1,2,3,0,1,2,1,2.7,259,9.3
2,Gavin Hardison,100827,QB,UTEP,1,68.0,25,27,10.0,2.45,1,2,7.4,44.4,12,0,9,29.4,27,5,6,330,68.6,71.4,74.3,58.8,0,1,28,1,0.0,45.4,0.0,0,0,0,1,0,1,3.6,141,5.2
2,Logan Bonner,39990,QB,ARK STATE,1,74.1,27,27,10.2,2.2,0,1,3.4,59.3,16,0,9,20.0,30,4,12,113,29.2,64.9,64.7,47.7,0,1,32,0,22.2,91.4,6.7,2,0,0,0,2,1,3.1,199,7.4
2,Jarret Doege,60353,QB,W VIRGINIA,1,84.0,25,25,11.7,2.5,0,3,11.5,76.0,19,0,1,9.5,25,2,10,343,67.8,93.1,92.8,,0,0,26,0,0.0,143.0,0.0,0,0,0,0,3,0,0.0,228,9.1
2,Miles Kendrick,77673,QB,KANSAS,1,72.7,22,24,10.6,2.18,0,2,7.1,62.5,15,0,8,6.3,26,1,9,198,69.3,58.9,59.5,56.9,1,1,30,0,25.0,91.5,7.7,2,0,0,1,2,2,6.7,155,6.5
2,D'Eriq King,26636,QB,MIAMI FL,1,72.7,22,23,8.5,2.98,0,2,7.7,65.2,15,0,11,6.3,30,1,13,220,71.2,81.0,74.6,73.1,0,0,33,0,18.2,96.5,6.7,2,5,0,1,1,0,0.0,141,6.1
2,Tyrrell Pigrome,46511,QB,W KENTUCKY,1,59.1,22,23,9.4,3.24,0,1,4.2,43.5,10,0,9,23.1,29,3,5,346,73.0,56.4,50.7,63.4,0,0,30,0,33.3,76.2,10.3,3,3,0,1,1,0,0.0,129,5.6
2,Tyler Johnston III,60570,QB,UAB,1,70.0,20,22,4.6,2.36,0,0,0.0,63.6,14,0,8,0.0,23,0,5,321,67.5,63.4,62.5,,0,0,23,1,12.5,96.0,4.3,1,0,0,2,1,1,4.3,136,6.2
2,Zac Thomas,39989,QB,APP STATE,1,70.0,20,21,10.8,2.52,0,0,0.0,66.7,14,0,4,0.0,24,0,11,108,70.5,61.4,60.5,59.4,0,1,26,0,0.0,94.1,0.0,0,3,1,0,1,1,3.8,204,9.7
2,Sam Hartman,77618,QB,WAKE,1,68.4,19,21,12.9,2.88,0,2,9.5,52.4,11,0,12,15.4,28,2,4,339,68.6,69.5,72.6,55.1,1,0,28,0,33.3,81.8,14.3,4,3,0,1,0,0,0.0,182,8.7
2,Levi Lewis,60428,QB,LA LAFAYET,1,85.0,20,21,8.5,2.85,1,1,4.5,61.9,13,0,5,23.5,25,4,6,207,68.4,66.8,72.3,53.4,0,0,26,1,60.0,100.1,12.0,3,1,0,0,1,0,0.0,154,7.3
2,Kenny Pickett,60515,QB,PITTSBURGH,1,85.0,20,20,13.3,2.38,0,3,14.3,70.0,14,0,2,17.6,20,3,8,268,68.6,92.6,92.3,67.3,0,0,21,0,0.0,129.2,0.0,0,0,0,0,1,0,0.0,277,13.9
2,Colby Suits,82143,QB,LA MONROE,1,77.8,18,19,9.9,2.28,1,1,5.0,73.7,14,0,7,0.0,23,0,6,209,27.0,66.0,79.3,35.6,0,0,24,0,28.6,113.5,8.7,2,2,0,0,1,2,8.3,148,7.8
2,Grayson McCall,98002,QB,COAST CAR,1,66.7,18,18,8.5,2.51,0,0,0.0,61.1,11,0,4,8.3,21,1,8,141,30.0,57.8,50.8,64.5,0,0,22,0,0.0,123.4,0.0,0,3,0,0,3,2,9.1,133,7.4
2,Tanner Mordecai,77656,QB,OKLAHOMA,1,88.2,17,17,9.5,2.96,0,0,0.0,82.4,14,0,2,6.7,18,1,9,261,68.4,62.7,62.3,60.1,0,1,19,0,50.0,100.2,5.6,1,0,0,0,1,1,5.3,157,9.2
2,Spencer Rattler,97408,QB,OKLAHOMA,1,94.1,17,17,13.9,2.66,0,3,17.6,82.4,14,0,8,12.5,20,2,9,261,67.8,93.7,93.5,63.1,0,0,20,0,37.5,158.3,15.0,3,0,0,0,4,0,0.0,290,17.1
2,Jordan McCloud,101058,QB,USF,1,78.6,14,16,5.2,2.47,0,0,0.0,68.8,11,0,5,0.0,18,0,5,327,68.3,70.4,64.4,69.5,1,0,18,0,20.0,97.9,5.6,1,1,0,1,1,0,0.0,68,4.3
2,Shai Werts,40384,QB,GA SOUTHRN,1,57.1,14,14,15.1,3.3,0,1,6.7,50.0,7,0,3,12.5,15,1,5,174,35.9,50.8,38.8,62.8,0,0,16,0,0.0,83.3,0.0,0,1,0,0,1,2,12.5,53,3.8
2,Bryson Lucero,97608,QB,UAB,1,60.0,10,13,14.2,2.53,2,1,7.7,38.5,5,0,9,16.7,13,1,4,321,66.0,62.8,62.1,,0,0,13,0,0.0,56.3,0.0,0,0,0,1,0,1,7.7,69,5.3
2,Michael Kern,97799,QB,WAKE,1,54.5,11,11,14.7,2.87,0,1,8.3,54.5,6,0,2,0.0,11,0,3,339,67.7,92.0,91.9,62.2,0,0,12,0,0.0,79.0,0.0,0,0,0,0,0,0,0.0,83,7.5
2,Calvin Brownholtz,83584,QB,UTEP,1,70.0,10,10,9.0,2.94,0,0,0.0,70.0,7,0,4,0.0,11,0,2,330,66.7,60.4,61.5,59.5,0,0,11,0,25.0,80.8,9.1,1,0,0,0,0,0,0.0,49,4.9
2,Thomas MacVittie,41467,QB,KANSAS,1,77.8,9,9,6.4,2.42,0,0,0.0,55.6,5,0,2,28.6,13,2,3,198,68.1,82.3,73.4,73.7,0,1,15,0,50.0,21.3,7.7,1,3,0,0,0,0,0.0,24,2.7
2,Desmond Trotter,83552,QB,S ALABAMA,1,62.5,8,8,11.8,2.24,0,0,0.0,50.0,4,0,6,20.0,8,1,2,288,21.3,44.0,60.9,40.1,0,0,8,0,0.0,82.3,0.0,0,0,0,0,0,0,0.0,74,9.3
2,Layne Hatcher,82068,QB,ARK STATE,1,85.7,7,8,10.0,2.31,0,2,25.0,75.0,6,0,3,0.0,9,0,3,113,19.6,67.2,85.8,43.2,0,0,9,0,33.3,135.9,11.1,1,0,0,1,2,0,0.0,61,7.6
2,Rex Culpepper,40540,QB,SYRACUSE,1,50.0,6,7,12.2,3.11,0,1,12.5,42.9,3,0,2,0.0,7,0,2,304,64.9,74.1,73.6,,0,1,8,0,0.0,11.3,0.0,0,0,0,1,0,1,12.5,22,3.1
2,Casey Thompson,77677,QB,TEXAS,1,85.7,7,7,15.6,2.46,0,1,11.1,57.1,4,0,0,33.3,7,2,3,311,68.3,79.7,77.2,64.9,0,0,9,0,,122.0,0.0,0,0,0,0,2,0,0.0,55,7.9
2,Mitch Griffis,123386,QB,WAKE,1,50.0,4,6,13.8,2.94,1,0,0.0,33.3,2,0,5,0.0,7,0,2,339,16.1,61.4,61.9,,0,0,8,0,20.0,88.9,14.3,1,0,0,1,1,1,12.5,28,4.7
2,Austin Kendall,40056,QB,W VIRGINIA,1,50.0,6,6,8.7,2.68,0,0,0.0,50.0,3,0,3,0.0,6,0,1,343,64.2,44.7,42.0,,0,0,6,0,0.0,73.6,0.0,0,0,0,0,0,0,0.0,43,7.2
2,Davis Beville,99588,QB,PITTSBURGH,1,80.0,5,5,2.2,2.3,0,0,0.0,60.0,3,0,2,25.0,5,1,1,268,63.8,66.6,65.9,,0,0,5,0,0.0,64.6,0.0,0,0,0,0,0,0,0.0,13,2.6
2,Katravis Marsh,123289,QB,USF,1,80.0,5,5,5.4,1.88,0,0,0.0,80.0,4,0,1,0.0,6,0,1,327,64.2,62.9,62.5,,0,0,6,0,100.0,79.2,16.7,1,0,0,0,0,0,0.0,10,2.0
2,Jeremy Hunt,123483,QB,LA MONROE,1,40.0,5,5,12.8,2.78,0,0,0.0,40.0,2,0,2,0.0,6,0,0,209,65.9,29.8,32.7,51.9,0,1,7,0,0.0,8.3,0.0,0,1,0,0,0,1,14.3,15,3.0
2,Taisun Phommachanh,99577,QB,CLEMSON,1,50.0,4,4,11.0,2.42,0,0,0.0,50.0,2,0,1,0.0,5,0,0,140,63.8,25.8,25.4,57.8,0,1,5,0,0.0,16.7,0.0,0,1,0,0,0,1,20.0,9,2.3
2,Noah Johnson,37350,QB,USF,1,100.0,4,4,5.8,2.45,0,0,0.0,75.0,3,0,2,25.0,8,1,4,327,69.8,76.2,68.9,69.1,0,0,8,0,50.0,89.6,12.5,1,2,0,0,0,0,0.0,24,6.0
2,Garrett Greene,123420,QB,W VIRGINIA,1,75.0,4,4,7.3,2.36,0,0,0.0,75.0,3,0,2,0.0,5,0,2,343,68.9,67.0,55.6,67.2,0,0,5,0,0.0,89.6,0.0,0,1,0,0,0,0,0.0,24,6.0
2,Christian Anderson,60339,QB,ARMY,1,0.0,2,3,16.5,2.55,0,0,0.0,0.0,0,0,2,,4,0,1,114,14.2,32.1,42.9,42.5,1,0,4,0,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
2,Joey Yellen,71430,QB,PITTSBURGH,1,66.7,3,3,6.7,2.3,0,0,0.0,66.7,2,0,1,0.0,4,0,1,268,0.4,23.9,26.4,51.1,0,0,4,0,100.0,84.0,25.0,1,0,0,0,0,2,50.0,19,6.3
2,N'Kosi Perry,60446,QB,MIAMI FL,1,66.7,3,3,2.0,2.07,0,0,0.0,66.7,2,0,1,0.0,3,0,1,220,66.4,54.4,57.8,56.5,0,0,3,0,0.0,77.1,0.0,0,0,0,0,0,0,0.0,14,4.7
2,DJ Uiagalelei,122162,QB,CLEMSON,1,66.7,3,3,7.7,1.63,0,0,0.0,66.7,2,0,0,0.0,3,0,1,140,64.8,50.4,52.1,60.0,0,0,3,0,,79.9,0.0,0,0,0,0,0,0,0.0,16,5.3
2,Jemel Jones,102863,QB,ARMY,1,50.0,2,2,30.0,3.63,0,0,0.0,50.0,1,0,3,0.0,3,0,1,114,68.8,74.3,69.8,66.4,0,0,4,0,0.0,95.8,0.0,0,1,0,0,0,0,0.0,29,14.5
2,Chandler Morris,122938,QB,OKLAHOMA,1,100.0,2,2,13.5,5.85,0,1,50.0,100.0,2,0,1,0.0,4,0,3,261,63.3,93.0,91.4,70.9,0,0,4,0,0.0,118.8,0.0,0,2,0,0,0,0,0.0,37,18.5
2,Isaiah Bravo,100828,QB,UTEP,1,0.0,2,2,16.5,2.83,0,0,0.0,0.0,0,0,1,,3,0,0,330,62.7,42.4,45.9,57.0,0,0,3,0,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
2,Jalon Daniels,122555,QB,KANSAS,1,50.0,2,2,9.5,2.9,0,0,0.0,50.0,1,0,3,0.0,4,0,1,198,10.7,55.1,55.0,,0,0,4,0,66.7,70.8,50.0,2,0,0,0,0,1,25.0,13,6.5
2,Jeremiah Haydel,61719,WR,TEXAS ST,1,100.0,1,1,3.0,3.9,0,0,0.0,100.0,1,0,1,0.0,1,0,0,314,71.7,65.1,61.0,,0,0,1,0,0.0,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0
2,Jace Ruder,77680,QB,N CAROLINA,1,100.0,1,1,-6.0,1.6,0,0,0.0,100.0,1,0,0,0.0,1,0,0,245,63.7,60.4,61.0,59.6,0,0,1,0,,100.0,0.0,0,0,0,0,0,0,0.0,8,8.0
2,Jordan Travis,77615,QB,FLORIDA ST,1,0.0,1,1,5.0,3.45,0,0,0.0,0.0,0,0,0,,2,0,1,167,69.6,77.1,57.7,73.4,0,0,2,0,,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0
2,Jeff Foreman,97868,WR,ARK STATE,1,100.0,1,1,36.0,3.4,0,0,0.0,100.0,1,0,0,0.0,1,0,1,113,60.3,55.3,75.7,,0,0,1,0,,158.3,0.0,0,0,0,0,1,0,0.0,48,48.0
2,Miller Mosley,64159,QB,GA SOUTHRN,1,100.0,1,1,4.0,1.7,0,0,0.0,100.0,1,0,0,0.0,1,0,0,174,63.7,66.1,60.6,62.6,0,0,1,0,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0
2,Anthony Beck II,78452,P,GA SOUTHRN,1,100.0,1,1,10.0,6.0,0,0,0.0,0.0,0,0,1,100.0,1,1,0,174,,31.8,43.0,,0,0,1,0,0.0,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0
2,Roshauud Paul,61714,WR,ARK STATE,1,100.0,1,1,16.0,5.0,0,0,0.0,100.0,1,0,1,0.0,1,0,1,113,71.2,60.1,72.6,,0,0,1,0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,17,17.0
2,Will Howard,122599,QB,KANSAS ST,1,100.0,1,1,19.0,2.4,0,0,0.0,100.0,1,0,0,0.0,1,0,1,199,63.7,72.0,73.1,59.6,0,0,1,0,,118.8,0.0,0,0,0,0,0,0,0.0,24,24.0
2,Hudson Card,123109,QB,TEXAS,1,100.0,1,1,11.0,6.1,0,0,0.0,0.0,0,0,0,100.0,1,1,0,311,65.9,75.7,75.4,61.6,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
3,Colby Suits,82143,QB,LA MONROE,1,75.5,49,53,8.6,2.76,1,0,0.0,66.0,35,0,21,5.4,56,2,19,209,42.9,66.9,66.7,58.5,1,1,57,0,9.5,91.5,3.6,2,1,0,2,2,4,7.0,377,7.1
3,Chase Brice,60363,QB,DUKE,1,58.5,41,41,10.3,2.42,0,1,2.3,53.7,22,0,14,8.3,46,2,11,154,71.0,56.9,55.5,61.2,0,2,48,0,14.3,49.2,4.3,2,2,0,0,0,2,4.2,224,5.5
3,Dillon Gabriel,86272,QB,UCF,1,79.5,39,41,13.5,2.56,1,5,11.1,65.9,27,0,16,12.9,42,4,16,323,42.2,80.4,82.6,56.9,0,1,46,0,6.3,121.7,2.4,1,0,0,1,4,2,4.3,417,10.2
3,Zac Thomas,39989,QB,APP STATE,1,63.9,36,39,10.6,2.67,0,1,2.3,56.4,22,0,12,4.3,46,1,13,108,39.6,48.0,53.8,42.8,0,1,51,0,25.0,75.1,6.5,3,4,1,2,1,2,3.9,263,6.7
3,Gunnar Watson,83570,QB,TROY,1,87.1,31,37,6.5,2.37,3,0,0.0,70.3,26,0,12,3.7,42,1,17,318,39.7,59.4,56.9,62.4,0,1,45,0,33.3,95.3,9.5,4,1,0,3,2,2,4.4,248,6.7
3,Levi Lewis,60428,QB,LA LAFAYET,1,72.2,36,37,11.8,2.89,0,3,8.1,56.8,21,0,14,19.2,43,5,14,207,69.3,51.9,51.2,57.2,0,2,44,0,14.3,76.3,4.7,2,3,1,0,2,4,9.1,279,7.5
3,Frank Harris,60586,QB,UTSA,1,71.4,35,37,8.7,3.04,0,1,2.7,62.2,23,0,17,8.0,47,2,18,331,72.3,80.6,67.7,80.6,1,1,48,0,5.9,81.7,2.1,1,9,0,1,1,2,4.2,267,7.2
3,Cornelious Brown IV,98356,QB,GA STATE,1,64.7,34,37,8.4,1.98,1,1,2.6,54.1,20,0,10,9.1,40,2,10,175,73.7,57.5,51.6,65.6,1,1,41,1,20.0,67.1,5.0,2,0,0,1,1,3,7.3,197,5.3
3,Jeff Sims,122496,QB,GA TECH,1,65.6,32,37,9.5,3.09,1,1,2.6,48.6,18,0,20,14.3,44,3,15,176,43.6,56.1,60.9,52.0,2,2,45,0,0.0,56.6,0.0,0,7,1,1,1,2,4.4,244,6.6
3,Malik Cunningham,60436,QB,LOUISVILLE,1,78.8,33,36,8.8,2.78,0,1,2.7,72.2,26,0,14,0.0,42,0,19,210,23.4,63.4,68.6,47.9,0,1,43,1,21.4,114.0,7.1,3,3,0,3,3,2,4.7,307,8.5
